,title,Published_date,Views,Likes,Comments,Month
180,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,41638,1622,79,Nov
181,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5720,131,31,Nov
182,Why Selling Is An Important Data Science Skill,2019-11-04,1470,72,13,Nov
183,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2443,67,18,Oct
184,Why is Balance Important in Data Science?,2019-10-16,641,32,13,Oct
185,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,10351,534,56,Sep
186,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,2526,90,27,Sep
187,6 Habits of Successful Data Scientists,2019-09-13,1705,83,17,Sep
188,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,2977,65,9,Sep
189,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,508,24,29,Aug
190,Is Data Science Right For You?,2019-08-18,45552,1054,113,Aug
191,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,11771,322,51,Aug
192,How To Get Data Science Experience (Without a Job),2019-08-08,26904,1289,71,Aug
193,Take Your Data Science Projects From Good to Great,2019-08-05,1469,103,11,Aug
194,The Projects You Should Do To Get A Data Science Job,2019-07-30,136651,5331,253,Jul
195,What Does a Data Scientist Actually Do?,2019-07-19,28838,999,73,Jul
196,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,10019,281,41,Jul
197,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,14764,456,64,Jul
198,Data Science: Pros and Cons,2019-06-30,4268,187,18,Jun
199,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,21194,1041,89,Jun
200,My Top 5 Data Science Internship Tips,2019-06-15,9467,414,19,Jun
201,Golf STATS: Strokes Gained Explained,2019-06-07,5043,119,28,Jun
202,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,562,44,5,May
203,What I Learned From My Three Degrees,2019-05-17,1131,57,12,May
204,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,24146,1019,67,May
205,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1123,38,2,May
206,Should You Learn R for Data Science?,2019-04-25,16547,474,69,Apr
207,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,43197,812,336,Apr
208,Work From Home Data Scientist: Day in the Life,2019-04-12,27157,743,103,Apr
209,Where to Look for Data Science Jobs,2019-03-29,2793,114,9,Mar
210,Data Science: Startup vs. Large Corporation,2019-03-21,1802,68,4,Mar
211,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5131,144,27,Mar
212,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,3819,166,14,Mar
213,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,693,28,12,Mar
214,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1274,31,8,Mar
215,Where YOU Should Start With Data Science Projects,2019-02-19,10388,249,17,Feb
216,Watch This Before Applying to Data Science Jobs,2019-02-04,1334,59,13,Feb
217,My Top 5 Data Science Resources for 2019,2019-01-05,3513,116,17,Jan
218,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,750,36,6,Dec
219,The Best Way to Predict NBA Minutes Played,2018-12-11,3356,89,13,Dec
220,Demystifying Data Science Roles,2018-11-30,1037,51,5,Nov
221,How to Simulate NBA Games in Python,2018-11-19,14654,332,50,Nov
222,Should You Get A Masters in Data Science?,2018-11-14,19206,286,139,Nov
223,How I Became A Data Scientist From a Business Background,2018-11-12,5806,180,23,Nov
224,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,7357,164,17,Jul
225,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,17206,259,41,Nov
226,How to Simulate NBA Games in Python,2018-11-19,14654,332,50,Nov
227,Should You Get A Masters in Data Science?,2018-11-14,19206,286,139,Nov
228,How I Became A Data Scientist From a Business Background,2018-11-12,5806,180,23,Nov
229,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,7357,164,17,Jul
230,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,17206,259,41,Nov
